amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-iba	order-invoice-type
405-2436898-4113953	405-2436898-4113953	2023-08-27T10:36:10+00:00	2023-08-28T13:24:20+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme cales en plastique | 125 x cales mix avec aide au montage | FABRIQUÉ EN ALLEMAGNE | Cales en plastique, cales de montage, cal	6Z-R0CA-A8ZW	B07ZPC81W2	Shipped	1	EUR	28.99	4.83							Villenauxe-la-Grande	France	10370	FR		false			false	
403-7503031-4495531	403-7503031-4495531	2023-08-27T17:14:07+00:00	2023-08-28T13:24:09+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Rouleau de papier abrasif Premium | 6 pièces, 93 mm x 5 m | papier de verre, papier de verre, papier poncer bois, feuille abrasive, bloc de	K9-EVG4-MYQB	B09QJTMLDK	Shipped	1	EUR	18.97		0.41					0.41	PLABENNEC		29860	FR	Free Shipping 2017/10/17 17-17-37-677	true		Business Price	false	
403-3195085-3221110	403-3195085-3221110	2023-08-26T15:51:46+00:00	2023-08-28T13:24:01+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Plaques de calage | 60 x 40 mm 80 pièces Mix jusqu'à 5 t | Entretoises, plaques en plastique, blocs, plaquettes de compensat	RI-897L-YJHU	B08SCJC5BX	Shipped	1	EUR	31.99	5.33							Rumegies		59226	FR		false			false	
406-5585287-5047512	406-5585287-5047512	2023-08-25T15:51:53+00:00	2023-08-28T13:23:51+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 40 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	02-ZCJX-YMEJ	B08RP6J47J	Shipped	1	EUR	28.99	4.83							CARNAC		56340	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
407-1111966-7630723	407-1111966-7630723	2023-08-27T17:19:03+00:00	2023-08-28T13:23:35+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Premium Disques abrasifs excentriques 125mm | Or, 60 pièces, 8 trous | papier a poncer, disque poncage | Papier abrasif universel Velcro |	2R-9ZP5-A8W2	B09QD5239J	Shipped	2	EUR	27.98	4.66							mouazé		35250	FR		false			false	
407-1071902-9094751	407-1071902-9094751	2023-08-28T01:38:20+00:00	2023-08-28T13:23:27+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 60 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	60-J3H9-BG7K	B08S212QHB	Shipped	1	EUR	34.99	5.83							Combles en Barrois		55000	FR		false			false	
171-1692774-9388325	171-1692774-9388325	2023-08-15T17:05:43+00:00	2023-08-28T13:23:11+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 60 mm 200 piï¿½ces TX25 | Dentelle coupï¿½e | Vis ï¿½ bo	60-J3H9-BG7K	B08S212QHB	Shipped	1	EUR	34.99	5.83							Les Auxons		25870	FR		false			false	
404-0681077-1277964	404-0681077-1277964	2023-08-24T11:59:46+00:00	2023-08-28T13:23:03+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Ponceuse Triangulaire Professionnelle Papier Abrasif | Or, 93 × 93 × 93 mm Lot de 180 | papier abrasif delta, papier a poncer, papier ponc	30-KYUT-8ZEH	B09QD83C83	Shipped	1	EUR	25.99	4.33	2.08					2.08	Saïx		81710	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
405-6349528-9357118	405-6349528-9357118	2023-08-28T13:19:52+00:00	2023-08-28T13:20:00+00:00	Pending	Amazon	Amazon.fr		Standard	INNONEXXT Pied à biche de qualité supérieure | 800 x 18 mm | En acier spécial | Pour clous, fentes de clous, pied de biche | Grattoir à burin, pi	2I-PB7C-OYPH_FBM	B09BZLK44P	Unshipped	1	EUR	23.09								Paris		75018	FR	Free Shipping 2017/10/17 17-17-37-677	true	280823-1	Business Price	false	
403-1222517-6538758	403-1222517-6538758	2023-08-16T16:09:09+00:00	2023-08-28T13:19:27+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Pied ï¿½ biche de qualitï¿½ supï¿½rieure | 800 x 18 mm | En acier spï¿½cial | Pour clous, fentes de clous, pied de biche | Gratt	2I-PB7C-OYPH_FBM	B09BZLK44P	Shipped	1	EUR	28.22	4.9							Rixensart		1332	BE	Free Shipping 2017/10/17 17-17-37-677	false			false	
403-6616638-6649953	403-6616638-6649953	2023-08-28T13:03:35+00:00	2023-08-28T13:18:43+00:00	Pending	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Entretoises | Cales, plaques en plastique, blocs, plaquettes de compensation | Set : 1, 2, 3, 4, 5, 10 mm| 400 pièces, mélan	25-10VE-GZ0T	B07P52D4LY	Unshipped	1	EUR	44.99								CHASSENEUIL DU POITOU		86360	FR	FBA Subscribe & Save Discount	false			false	
403-8171448-1833937	403-8171448-1833937	2023-08-28T12:54:57+00:00	2023-08-28T12:55:01+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 300 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique, entr	4B-9EAW-HI3A	B09RQ7P7WV	Unshipped	1	EUR	28.49								Mauvezin		65130	FR		false			false	
407-0659374-8018763	407-0659374-8018763	2023-08-27T17:01:31+00:00	2023-08-28T12:13:39+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Plaques de calage | 60 x 40 mm 40 pièces Mix jusqu'à 5 t | Entretoises, plaques en plastique, blocs, plaquettes de compensat	9L-HBWO-UNTN	B09JGD3YWL	Shipped	1	EUR	22.99	3.83							Chasse sur Rhône		38670	FR		false			false	
407-2333729-2793920	407-2333729-2793920	2023-08-28T11:39:27+00:00	2023-08-28T11:40:32+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Entretoises avec aide au montage | 300 pièces, Mix - 60 x 45 mm | Cales, entretoises, écarteurs, plaques en plastique, plaqu	ZJ-O015-RGNY	B07P589646	Unshipped	1	EUR	45.99								La Garde		83130	FR		false			false	
402-6668643-1232329	402-6668643-1232329	2023-08-28T11:17:00+00:00	2023-08-28T11:19:26+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 60 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	60-J3H9-BG7K	B08S212QHB	Unshipped	1	EUR	34.99								CHAMBERY		73000	FR		false			false	
407-3016607-7184348	407-3016607-7184348	2023-08-28T11:17:15+00:00	2023-08-28T11:18:20+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Entretoises | Cales, plaques en plastique, blocs, plaquettes de compensation | Set : 1, 2, 3, 4, 5, 10 mm| 400 pièces, mélan	25-10VE-GZ0T	B07P52D4LY	Unshipped	1	EUR	44.99								schoeneck		57350	FR		false			false	
405-3757835-1822765	405-3757835-1822765	2023-08-28T11:03:57+00:00	2023-08-28T11:04:01+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 5mm - 500 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique	62-QQ2Z-Z829	B08XVQSZLL	Unshipped	1	EUR	39.99								chilleurs aux bois		45170	FR		false			false	
403-2724395-1739514	403-2724395-1739514	2023-08-28T11:02:29+00:00	2023-08-28T11:02:35+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 1mm - 500 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique	PM-LHJ4-WEIF	B08XW6QH4W	Unshipped	1	EUR	32.49								Aubergenville		78410	FR		false			false	
407-2619619-8348351	407-2619619-8348351	2023-08-28T10:58:42+00:00	2023-08-28T10:58:47+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Vis pour plaques de plâtre de haute qualité | 3,9 x 19 mm 500 pièces | Vis pour plaques de fibrociment, vis pour construction sèche, vis	54-T330-4YP9	B08GFWCTKK	Unshipped	1	EUR	16.99								comines		59560	FR		false			false	
171-3276685-7512356	171-3276685-7512356	2023-08-28T10:53:47+00:00	2023-08-28T10:54:54+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT premium Entretoises pour lames de terrasse | 200 pièces - 7 mm | Entretoises Terrassfix, entretoises pour lames de terrasse, entretoises pl	JV-VJY6-PMSJ	B09445QYYT	Unshipped	1	EUR	24.49								Colmar	France	68000	FR		false			false	
404-0784744-4980318	404-0784744-4980318	2023-03-27T16:07:32+00:00	2023-08-28T10:42:59+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® 500 collier de serrage | Noir Jusqu'à 48 kg - Résistants aux UV | 100mm - 400 mm - Avec 50 serre cable | Attache cable, Collier de serra	95-EZLT-EG2U	B09WPQQW41	Shipped	1	EUR	12.99	2.17							BELLEME		61130	FR		false			false	
403-6300932-7989153	403-6300932-7989153	2023-08-27T05:02:52+00:00	2023-08-28T10:33:04+00:00	Cancelled	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 60 mm 200 piï¿½ces | Dentelle coupï¿½e | Vis ï¿½ bois, N	UA-0KEE-NJEO	B09GKVXT43	Cancelled	0										Preuschdorf		67250	FR		false			false	
406-2843144-8022706	406-2843144-8022706	2023-08-27T11:00:06+00:00	2023-08-28T10:32:52+00:00	Cancelled	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 60 mm 200 piï¿½ces | Dentelle coupï¿½e | Vis ï¿½ bois, N	UA-0KEE-NJEO	B09GKVXT43	Cancelled	0										Preuschdorf		67250	FR		false			false	
403-7211314-9741967	403-7211314-9741967	2023-08-26T15:02:56+00:00	2023-08-28T10:02:38+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Rouleau de papier abrasif Premium | 6 pièces, 93 mm x 5 m | papier de verre, papier de verre, papier poncer bois, feuille abrasive, bloc de	K9-EVG4-MYQB	B09QJTMLDK	Shipped	1	EUR	22.99	3.83							La Maxe		57140	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
404-0039590-5201933	404-0039590-5201933	2023-08-24T13:12:50+00:00	2023-08-28T09:34:10+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 40 mm 200 piï¿½ces | Dentelle coupï¿½e | Vis ï¿½ bois, N	WP-RL06-9J7C	B09GKW85JT	Shipped	1	EUR	25.99	4.33							MONTERFIL		35160	FR		false			false	
404-5300373-3481912	404-5300373-3481912	2023-08-26T13:18:22+00:00	2023-08-28T09:21:05+00:00	Pending	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Equerre métallique | 25 pièces 50 x 50 x 40 x 2 mm | Equerre, support d'équerre, équerre en L en métal, équerre en acier	II-HPXR-APRD	B09BVQ8NF3	Unshipped	1	EUR	18.99	3.17							Puy-Guillaume		63290	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
408-6220702-9813129	408-6220702-9813129	2023-08-21T21:05:55+00:00	2023-08-28T09:17:49+00:00	Cancelled	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Plaques de calage | 60 x 40 mm 10 mm brun - 100 pcs. jusqu'à 5 t | Entretoises, plaques en plastique, blocs, plaquettes de co	YX-ZU3N-YRQO	B08SCHG523	Cancelled	0										Apt	Vaucluse	84400	FR		false			false	
171-8237358-2140344	171-8237358-2140344	2023-08-28T08:27:10+00:00	2023-08-28T08:43:41+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 60 mm 200 pièces | Dentelle coupée | Vis à bois, Nervures de f	UA-0KEE-NJEO	B09GKVXT43	Unshipped	2	EUR	60.78								ST LOUIS		68300	FR		false			false	
408-8601186-3205918	408-8601186-3205918	2023-08-28T08:14:56+00:00	2023-08-28T08:16:01+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 50 mm 200 pièces | Dentelle coupée | Vis à bois, Nervures de f	A5-M669-W35F	B09GKTR4CL	Unshipped	1	EUR	27.99								Mormaison		85260	FR		false			false	
405-8252492-7773136	405-8252492-7773136	2023-08-28T07:46:12+00:00	2023-08-28T07:46:18+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Entretoises avec aide au montage | 300 pièces, Mix - 60 x 45 mm | Cales, entretoises, écarteurs, plaques en plastique, plaqu	ZJ-O015-RGNY	B07P589646	Unshipped	1	EUR	37.94								trosly-breuil		60350	FR		true		Business Price	false	
407-2138371-7932314	407-2138371-7932314	2023-08-26T13:06:20+00:00	2023-08-28T07:30:00+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 60 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	60-J3H9-BG7K	B08S212QHB	Shipped	1	EUR	34.99	5.83							Combles en Barrois		55000	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
